# Basic macro run statistics:,,,,,,,,,,,,,,,,,,,
# Date and time: 2023-08-14 18:09:28,,,,,,,,,,,,,,,,,,,
# Macro version: 13,,,,,,,,,,,,,,,,,,,
# Channel: 1,,,,,,,,,,,,,,,,,,,
# Cell (ROI) size interval: 5-Infinity um^2,,,,,,,,,,,,,,,,,,,
# Coefficient of variance threshold: 0,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
exp_code,BR_date,strain,medium,time,condition,frame,mean_background,cell_no,patch_density(find_maxima),patch_density(analyze_particles),area_fraction(patch_vs_ROI),length,length_SD,width,width_SD,size,size_SD,mean_patch_intensity,mean_patch_intensity_SD
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,17,4.7107,4.5867,26.8515,0.3428,0.09957,0.2077,0.04886,0.05854,0.02892,5697.8612,3155.7009
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,18,4.6724,5.6259,31.4928,0.3252,0.08126,0.2138,0.04838,0.05598,0.0229,6017.122,3125.8104
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,19,4.6762,4.5426,24.8056,0.3209,0.116,0.2058,0.04875,0.05461,0.03102,6641.4136,3571.5986
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,20,5.037,5.1809,29.2328,0.3188,0.09511,0.2142,0.05108,0.05642,0.02834,6406.3368,3600.8337
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,21,4.7395,4.8642,27.9327,0.322,0.08448,0.2194,0.04762,0.05743,0.02423,5403.2664,2929.9806
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,22,4.9171,5.1512,27.4749,0.3317,0.08998,0.2011,0.04381,0.05334,0.02069,5684.8494,2809.0675
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,23,4.8,4.3826,23.7212,0.3252,0.1016,0.2032,0.04607,0.05413,0.02771,6228.5456,3807.6002
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,24,4.9454,4.7099,27.8499,0.3288,0.07476,0.2255,0.045,0.05913,0.02063,6383.6015,3762.2137
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,25,4.8121,4.9294,24.6674,0.2969,0.09007,0.2062,0.04345,0.05004,0.02336,5972.7149,3890.9618
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,26,5.8623,4.7277,27.5782,0.3321,0.1235,0.2184,0.03393,0.05833,0.02655,6153.7806,3682.697
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,27,3.8807,3.8807,18.1741,0.2879,0.06931,0.2004,0.04287,0.04683,0.02039,6498.5785,4246.4179
230811_k,230623,Y1492,SMDGE,24h,control,4,605.2122,28,5.0356,4.8067,21.669,0.2975,0.1061,0.1858,0.03856,0.04508,0.02201,6770.1839,3845.4383
